2l1h64d		 reach max step		 eval_len0-50_acc: 0.947		eval_len51-100_acc: 0.519		eval_len101-150_acc: 0.266		eval_len151-200_acc: 0.203		eval_len201-250_acc: 0.186		eval_len251-300_acc: 0.146		eval_len301-350_acc: 0.122		eval_len351-400_acc: 0.085		eval_len401-450_acc: 0.015		eval_len451-500_acc: 0.0 		lr: 0.001
2l1h64d		 reach max step		 eval_len0-50_acc: 0.947		eval_len51-100_acc: 0.519		eval_len101-150_acc: 0.266		eval_len151-200_acc: 0.203		eval_len201-250_acc: 0.186		eval_len251-300_acc: 0.146		eval_len301-350_acc: 0.065		eval_len351-400_acc: 0.002		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l2h256d		 reach max step		 eval_len0-50_acc: 0.947		eval_len51-100_acc: 0.519		eval_len101-150_acc: 0.266		eval_len151-200_acc: 0.203		eval_len201-250_acc: 0.086		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l4h16d		 reach max step		 eval_len0-50_acc: 0.9635		eval_len51-100_acc: 0.317		eval_len101-150_acc: 0.099		eval_len151-200_acc: 0.076		eval_len201-250_acc: 0.065		eval_len251-300_acc: 0.022		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l4h16d		 reach max step		 eval_len0-50_acc: 0.9635		eval_len51-100_acc: 0.223		eval_len101-150_acc: 0.002		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l4h16d		 reach max step		 eval_len0-50_acc: 0.9765		eval_len51-100_acc: 0.278		eval_len101-150_acc: 0.01		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l4h64d		 reach max step		 eval_len0-50_acc: 0.9215		eval_len51-100_acc: 0.484		eval_len101-150_acc: 0.253		eval_len151-200_acc: 0.196		eval_len201-250_acc: 0.176		eval_len251-300_acc: 0.138		eval_len301-350_acc: 0.116		eval_len351-400_acc: 0.083		eval_len401-450_acc: 0.066		eval_len451-500_acc: 0.06 		lr: 0.0001
4l1h16d		 reach max step		 eval_len0-50_acc: 0.9215		eval_len51-100_acc: 0.484		eval_len101-150_acc: 0.253		eval_len151-200_acc: 0.067		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l1h16d		 reach max step		 eval_len0-50_acc: 0.947		eval_len51-100_acc: 0.519		eval_len101-150_acc: 0.131		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l1h16d		 reach max step		 eval_len0-50_acc: 0.9635		eval_len51-100_acc: 0.543		eval_len101-150_acc: 0.241		eval_len151-200_acc: 0.024		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l1h64d		 reach max step		 eval_len0-50_acc: 0.9215		eval_len51-100_acc: 0.484		eval_len101-150_acc: 0.253		eval_len151-200_acc: 0.196		eval_len201-250_acc: 0.176		eval_len251-300_acc: 0.138		eval_len301-350_acc: 0.116		eval_len351-400_acc: 0.068		eval_len401-450_acc: 0.002		eval_len451-500_acc: 0.0 		lr: 0.0001
