2l1h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.622		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
2l2h16d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.8		eval_len301-400_acc: 0.031		eval_len401-500_acc: 0.026 		lr: 0.001
2l2h64d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.233		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
2l2h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.74		eval_len301-400_acc: 0.029		eval_len401-500_acc: 0.026 		lr: 0.0001
2l4h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.784		eval_len301-400_acc: 0.033		eval_len401-500_acc: 0.026 		lr: 0.001
2l4h64d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.254		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
2l4h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.786		eval_len301-400_acc: 0.03		eval_len401-500_acc: 0.026 		lr: 0.0001
4l1h16d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.679		eval_len301-400_acc: 0.013		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.527		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
4l2h16d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.597		eval_len301-400_acc: 0.03		eval_len401-500_acc: 0.026 		lr: 0.001
4l2h16d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.33		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
4l2h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.317		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
4l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.741		eval_len301-400_acc: 0.008		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h16d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.621		eval_len301-400_acc: 0.028		eval_len401-500_acc: 0.024 		lr: 0.001
4l4h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.736		eval_len401-500_acc: 0.092 		lr: 0.001
4l4h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.283		eval_len301-400_acc: 0.027		eval_len401-500_acc: 0.026 		lr: 0.0001
4l4h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.766		eval_len301-400_acc: 0.028		eval_len401-500_acc: 0.026 		lr: 0.0001
