2l1h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.455		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.327		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.298		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l1h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.33		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.002 		lr: 0.0001
2l2h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.181		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.298		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.002 		lr: 0.001
2l2h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.26		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.952		eval_len301-400_acc: 0.195		eval_len401-500_acc: 0.002 		lr: 0.001
2l2h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.801		eval_len301-400_acc: 0.029		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.297		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.44		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.287		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.922		eval_len301-400_acc: 0.162		eval_len401-500_acc: 0.002 		lr: 0.001
2l4h256d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.585		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.002 		lr: 0.0001
4l1h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.296		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.206		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.394		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.205		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.408		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.397		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.002 		lr: 0.0001
4l2h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.278		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.32		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.195		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.515		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.341		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h16d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.339		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.367		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.21		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.675		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.268		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
