2l1h16d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.515		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.733		eval_len301-400_acc: 0.002		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h16d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.283		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.338		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h256d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.993		eval_len301-400_acc: 0.513		eval_len401-500_acc: 0.037 		lr: 0.001
2l2h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.84		eval_len301-400_acc: 0.063		eval_len401-500_acc: 0.009 		lr: 0.0001
2l4h16d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.962		eval_len301-400_acc: 0.031		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.514		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.952		eval_len301-400_acc: 0.237		eval_len401-500_acc: 0.022 		lr: 0.001
2l4h256d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.609		eval_len301-400_acc: 0.033		eval_len401-500_acc: 0.018 		lr: 0.0001
4l1h16d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.774		eval_len301-400_acc: 0.029		eval_len401-500_acc: 0.016 		lr: 0.001
4l1h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.641		eval_len301-400_acc: 0.032		eval_len401-500_acc: 0.017 		lr: 0.0001
4l1h256d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.544		eval_len301-400_acc: 0.004		eval_len401-500_acc: 0.001 		lr: 0.0001
4l2h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.927		eval_len301-400_acc: 0.151		eval_len401-500_acc: 0.002 		lr: 0.001
4l2h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.942		eval_len301-400_acc: 0.07		eval_len401-500_acc: 0.004 		lr: 0.001
4l2h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.998		eval_len301-400_acc: 0.258		eval_len401-500_acc: 0.008 		lr: 0.0001
4l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.86		eval_len301-400_acc: 0.051		eval_len401-500_acc: 0.018 		lr: 0.0001
4l4h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.834		eval_len301-400_acc: 0.029		eval_len401-500_acc: 0.003 		lr: 0.001
4l4h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.642		eval_len301-400_acc: 0.004		eval_len401-500_acc: 0.002 		lr: 0.0001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.862		eval_len301-400_acc: 0.045		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.516		eval_len301-400_acc: 0.02		eval_len401-500_acc: 0.004 		lr: 0.0001
