2l1h16d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.606		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h16d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.221		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l1h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.922		eval_len301-400_acc: 0.093		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h64d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.482		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l1h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.927		eval_len301-400_acc: 0.062		eval_len401-500_acc: 0.0 		lr: 0.001
2l1h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.82		eval_len301-400_acc: 0.034		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.523		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h16d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.452		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.839		eval_len301-400_acc: 0.03		eval_len401-500_acc: 0.0 		lr: 0.001
2l2h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.435		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 1.0		eval_len301-400_acc: 0.99		eval_len401-500_acc: 0.677 		lr: 0.001
2l2h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.967		eval_len301-400_acc: 0.325		eval_len401-500_acc: 0.002 		lr: 0.0001
2l4h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.478		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h16d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.436		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.774		eval_len301-400_acc: 0.005		eval_len401-500_acc: 0.0 		lr: 0.001
2l4h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.566		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.0001
2l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.999		eval_len301-400_acc: 1.0		eval_len401-500_acc: 0.842 		lr: 0.001
2l4h256d		 >> early stop 48.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.884		eval_len301-400_acc: 0.048		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.411		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h16d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.237		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.397		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l1h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.254		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l1h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.997		eval_len301-400_acc: 0.397		eval_len401-500_acc: 0.002 		lr: 0.001
4l1h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.436		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.289		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.207		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.663		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.231		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.905		eval_len301-400_acc: 0.065		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.336		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h16d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.426		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.201		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.699		eval_len301-400_acc: 0.001		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.257		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.873		eval_len301-400_acc: 0.071		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h256d		 >> early stop 24.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.33		eval_len301-400_acc: 0.0		eval_len401-500_acc: 0.0 		lr: 0.0001
