2l1h256d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.882		eval_len301-400_acc: 0.083		eval_len401-500_acc: 0.042 		lr: 0.0001
2l2h16d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.403		eval_len301-400_acc: 0.06		eval_len401-500_acc: 0.046 		lr: 0.001
2l2h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.88		eval_len301-400_acc: 0.128		eval_len401-500_acc: 0.05 		lr: 0.001
2l2h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.355		eval_len301-400_acc: 0.055		eval_len401-500_acc: 0.05 		lr: 0.0001
2l2h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.999		eval_len301-400_acc: 0.973		eval_len401-500_acc: 0.211 		lr: 0.001
2l2h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.548		eval_len301-400_acc: 0.054		eval_len401-500_acc: 0.05 		lr: 0.0001
2l4h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.609		eval_len301-400_acc: 0.054		eval_len401-500_acc: 0.021 		lr: 0.001
2l4h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.6		eval_len301-400_acc: 0.049		eval_len401-500_acc: 0.047 		lr: 0.001
2l4h256d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.993		eval_len301-400_acc: 0.981		eval_len401-500_acc: 0.333 		lr: 0.001
2l4h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.333		eval_len301-400_acc: 0.049		eval_len401-500_acc: 0.046 		lr: 0.0001
4l1h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.461		eval_len301-400_acc: 0.044		eval_len401-500_acc: 0.023 		lr: 0.001
4l1h64d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.351		eval_len301-400_acc: 0.049		eval_len401-500_acc: 0.047 		lr: 0.0001
4l1h256d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.464		eval_len301-400_acc: 0.051		eval_len401-500_acc: 0.022 		lr: 0.0001
4l2h16d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.662		eval_len301-400_acc: 0.058		eval_len401-500_acc: 0.05 		lr: 0.001
4l2h64d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.365		eval_len301-400_acc: 0.048		eval_len401-500_acc: 0.042 		lr: 0.0001
4l2h256d		 >> early stop 192.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.63		eval_len301-400_acc: 0.053		eval_len401-500_acc: 0.045 		lr: 0.0001
4l4h16d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.7		eval_len301-400_acc: 0.049		eval_len401-500_acc: 0.047 		lr: 0.001
4l4h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.622		eval_len301-400_acc: 0.049		eval_len401-500_acc: 0.046 		lr: 0.001
4l4h64d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.399		eval_len301-400_acc: 0.055		eval_len401-500_acc: 0.05 		lr: 0.0001
4l4h256d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.8		eval_len301-400_acc: 0.059		eval_len401-500_acc: 0.055 		lr: 0.001
4l4h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.857		eval_len301-400_acc: 0.076		eval_len401-500_acc: 0.054 		lr: 0.0001
