2l2h16d		 reach max step		 eval_len0-50_acc: 0.9025		eval_len51-100_acc: 0.285		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l2h64d		 reach max step		 eval_len0-50_acc: 0.9025		eval_len51-100_acc: 0.265		eval_len101-150_acc: 0.01		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l2h256d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.397		eval_len101-150_acc: 0.004		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l2h256d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.369		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
2l4h64d		 reach max step		 eval_len0-50_acc: 0.9025		eval_len51-100_acc: 0.449		eval_len101-150_acc: 0.283		eval_len151-200_acc: 0.115		eval_len201-250_acc: 0.006		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l4h64d		 reach max step		 eval_len0-50_acc: 0.9465		eval_len51-100_acc: 0.504		eval_len101-150_acc: 0.31		eval_len151-200_acc: 0.208		eval_len201-250_acc: 0.161		eval_len251-300_acc: 0.132		eval_len301-350_acc: 0.075		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
2l4h64d		 reach max step		 eval_len0-50_acc: 0.9625		eval_len51-100_acc: 0.531		eval_len101-150_acc: 0.329		eval_len151-200_acc: 0.222		eval_len201-250_acc: 0.167		eval_len251-300_acc: 0.14		eval_len301-350_acc: 0.117		eval_len351-400_acc: 0.102		eval_len401-450_acc: 0.099		eval_len451-500_acc: 0.056 		lr: 0.001
4l1h64d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.472		eval_len101-150_acc: 0.104		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l1h64d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.472		eval_len101-150_acc: 0.105		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l1h64d		 reach max step		 eval_len0-50_acc: 0.9625		eval_len51-100_acc: 0.458		eval_len101-150_acc: 0.103		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
4l1h64d		 reach max step		 eval_len0-50_acc: 0.9745		eval_len51-100_acc: 0.517		eval_len101-150_acc: 0.139		eval_len151-200_acc: 0.033		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
4l2h16d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.354		eval_len101-150_acc: 0.079		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.9465		eval_len51-100_acc: 0.504		eval_len101-150_acc: 0.31		eval_len151-200_acc: 0.208		eval_len201-250_acc: 0.161		eval_len251-300_acc: 0.132		eval_len301-350_acc: 0.112		eval_len351-400_acc: 0.098		eval_len401-450_acc: 0.093		eval_len451-500_acc: 0.097 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.9745		eval_len51-100_acc: 0.553		eval_len101-150_acc: 0.348		eval_len151-200_acc: 0.236		eval_len201-250_acc: 0.172		eval_len251-300_acc: 0.15		eval_len301-350_acc: 0.123		eval_len351-400_acc: 0.106		eval_len401-450_acc: 0.106		eval_len451-500_acc: 0.101 		lr: 0.001
4l2h64d		 reach max step		 eval_len0-50_acc: 0.9025		eval_len51-100_acc: 0.357		eval_len101-150_acc: 0.086		eval_len151-200_acc: 0.01		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
4l2h256d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.472		eval_len101-150_acc: 0.297		eval_len151-200_acc: 0.023		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
4l4h16d		 reach max step		 eval_len0-50_acc: 0.9025		eval_len51-100_acc: 0.325		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
