6l4h64d		 reach max step		 eval_len0-50_acc: 0.987		eval_len51-100_acc: 0.532		eval_len101-150_acc: 0.283		eval_len151-200_acc: 0.184		eval_len201-250_acc: 0.147		eval_len251-300_acc: 0.119		eval_len301-350_acc: 0.099		eval_len351-400_acc: 0.088		eval_len401-450_acc: 0.083		eval_len451-500_acc: 0.085 		lr: 0.001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.598		eval_len101-150_acc: 0.29		eval_len151-200_acc: 0.184		eval_len201-250_acc: 0.147		eval_len251-300_acc: 0.119		eval_len301-350_acc: 0.096		eval_len351-400_acc: 0.086		eval_len401-450_acc: 0.074		eval_len451-500_acc: 0.055 		lr: 0.001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.541		eval_len101-150_acc: 0.269		eval_len151-200_acc: 0.173		eval_len201-250_acc: 0.135		eval_len251-300_acc: 0.11		eval_len301-350_acc: 0.092		eval_len351-400_acc: 0.079		eval_len401-450_acc: 0.065		eval_len451-500_acc: 0.046 		lr: 0.001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.236		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9255		eval_len51-100_acc: 0.282		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9625		eval_len51-100_acc: 0.441		eval_len101-150_acc: 0.039		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9745		eval_len51-100_acc: 0.373		eval_len101-150_acc: 0.007		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.58		eval_len101-150_acc: 0.138		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.59		eval_len101-150_acc: 0.082		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.996		eval_len51-100_acc: 0.583		eval_len101-150_acc: 0.051		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 >> reach max step		 eval_len0-50_acc: 0.999		eval_len51-100_acc: 0.632		eval_len101-150_acc: 0.271		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
