6l4h64d		 reach max step		 eval_len0-50_acc: 0.983		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.501		eval_len201-250_acc: 0.159		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
6l4h64d		 >> early stop 480.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.501		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9305		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.501		eval_len201-250_acc: 0.306		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9125		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.17		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 reach max step		 eval_len0-50_acc: 0.9305		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.057		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l4h64d		 >> early stop 336.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.08		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l8h64d		 >> early stop 216.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.351		eval_len101-150_acc: 0.0		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
6l8h256d		 >> early stop 432.0		 eval_len0-50_acc: 1.0		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.057		eval_len151-200_acc: 0.0		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
8l4h64d		 reach max step		 eval_len0-50_acc: 0.9125		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.458		eval_len201-250_acc: 0.0		eval_len251-300_acc: 0.0		eval_len301-350_acc: 0.0		eval_len351-400_acc: 0.0		eval_len401-450_acc: 0.0		eval_len451-500_acc: 0.0 		lr: 0.0001
8l4h64d		 reach max step		 eval_len0-50_acc: 0.9125		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.501		eval_len201-250_acc: 0.491		eval_len251-300_acc: 0.499		eval_len301-350_acc: 0.484		eval_len351-400_acc: 0.486		eval_len401-450_acc: 0.482		eval_len451-500_acc: 0.116 		lr: 0.0001
8l4h64d		 reach max step		 eval_len0-50_acc: 0.959		eval_len51-100_acc: 0.509		eval_len101-150_acc: 0.504		eval_len151-200_acc: 0.501		eval_len201-250_acc: 0.491		eval_len251-300_acc: 0.499		eval_len301-350_acc: 0.484		eval_len351-400_acc: 0.486		eval_len401-450_acc: 0.356		eval_len451-500_acc: 0.0 		lr: 0.0001
