2l1h64d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.318		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
2l2h64d		 >> early stop 240.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.477		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
2l2h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.445		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.0001
2l4h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.888		eval_len301-400_acc: 0.055		eval_len401-500_acc: 0.001 		lr: 0.001
2l4h256d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.646		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
2l4h256d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.483		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.0001
4l1h16d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.386		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
4l1h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.542		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
4l1h256d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.436		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.0001
4l2h16d		 >> early stop 120.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.177		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
4l2h64d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.4		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.0 		lr: 0.001
4l2h64d		 >> early stop 216.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.258		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.0 		lr: 0.0001
4l2h256d		 >> early stop 96.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.497		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.0001
4l4h16d		 >> early stop 144.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.23		eval_len301-400_acc: 0.004		eval_len401-500_acc: 0.0 		lr: 0.001
4l4h64d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.375		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
4l4h64d		 >> early stop 168.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.266		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.0 		lr: 0.0001
4l4h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.492		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.001
4l4h256d		 >> early stop 72.0		 eval_len0-200_acc: 1.0		eval_len201-300_acc: 0.377		eval_len301-400_acc: 0.006		eval_len401-500_acc: 0.001 		lr: 0.0001
